ASV_ID	P17302_1001	P17302_1002	P17302_1003	P17302_1004	P17302_1005	P17302_1006	P17302_1007	P17302_1008	P17302_1009	P17302_1010	P17302_1011	P17302_1012	P17302_1013	P17302_1014	P17302_1015	P17302_1016	P17302_1017	P17302_1018	P17302_1019	P17302_1020	P17302_1021	P17302_1022	P17302_1023	P17302_1024	P17302_1025	P17302_1026	P17302_1027	P17302_1028	P17302_1029	P17302_1030	P17302_1031	P17302_1032	P17302_1033	P17302_1034	P17302_1035	P17302_1036	P17302_1037	P17302_1038	P17302_1039	P17302_1040	P17302_1041	P17302_1042	P17302_1043	P17302_1044	P17302_1045	P17302_1046	P17302_1047	P17302_1048	P17302_1049	P17302_1050	P17302_1051	P17302_1052	P17302_1053	P17302_1054	P17302_1055	P17302_1056	P17302_1057	P17302_1058	P17302_1059	P17302_1060	P17302_1061	P17302_1062	P17302_1063	P17302_1064	P17302_1065	P17302_1066	P17302_1067	P17302_1068	P17302_1069	P17302_1070	P17302_1071	P17302_1072	P17302_1073	P17302_1074	P17302_1075	P17302_1076	P17302_1077	P17302_1078	P17302_1079	P17302_1080	P17302_1081	P17302_1082	P17302_1083	P17302_1084	P17302_1085	P17302_1086
d29da74c2ec6fb9901850789f2274851	156	53	1658	123	16	13	0	16	4	0	83	0	22	0	0	19	0	47	12	0	266	0	0	0	0	0	11	0	11	0	0	4	0	0	0	0	23	0	0	0	41	6	7	0	50	8	0	0	2	0	12	5	2	2968	0	0	19	72	6	277	1207	10	77	89	18	170	701	9	46	443	4	165	1490	67	1506	78	28	2828	50	0	130	3086	1472	0	28343	297
ae71bf7c99d3583a2d8841e5911c5716	147	187	627	502	183	530	28	38	267	205	145	1439	87	215	1583	56	35	65	23	434	980	311	142	141	110	855	768	562	988	737	4846	32	504	109	1228	23	500	2002	701	2314	155	1330	545	66	378	518	185	181	186	224	592	16	11	724	70	71	29	11	11	38	151	372	1442	874	29	43	162	1112	1084	88	18	173	228	51	32	40	751	516	687	1031	1637	404	1701	3621	138	321
d34793dfd082a428ca6fbe60c6d405ce	63	0	21	0	0	0	50	16	493	124	98	17	8	39	130	45	0	29	0	90	86	7	0	12	0	115	55	74	192	39	156	18	106	355	4119	25	1093	338	3788	4414	95	1041	619	39	93	414	628	697	538	174	236	13	21	139	13	0	18	20	32	29	24	0	7375	3808	57	39	1071	121	319	47	44	167	94	123	14	0	1957	187	475	53	416	163	174	7661	65	0
272f79649c2702bec9ff272552ffffcf	9	9	0	68	5	45	0	0	459	510	195	242	39	122	704	46	27	56	0	307	311	78	56	113	51	728	213	136	367	124	2703	16	230	132	1858	31	1301	2409	3380	4471	142	1378	1502	31	153	1346	592	326	595	233	322	0	16	340	22	0	12	0	18	17	46	281	3358	1740	59	27	468	183	493	85	39	88	92	153	27	32	2230	350	125	253	867	135	457	3994	62	40
43e088977eba5732bfa45e20b1d8cdd2	32	27	60	59	0	68	28	0	50	25	44	457	48	83	244	23	0	32	319	56	393	82	94	203	13	250	574	419	1071	29	1167	0	85	117	1589	0	134	330	352	1142	38	227	153	0	19	64	173	79	106	88	101	0	0	283	44	11	0	0	18	0	0	21	445	243	16	0	110	299	186	51	0	50	15	26	23	17	635	75	37	568	176	30	17783	71	11	8591
1f18cf29076957c15e3c64478934c53f	91	49	214	151	21	679	166	38	179	13	97	814	19	1141	466	268	12	8	51	969	384	29	224	118	41	85	941	100	258	19	829	40	1377	38	307	3	544	39	9	99	3004	13	16	9	16	210	135	89	0	33	58	9	0	1431	39	41	7	49	76	12	119	3538	1146	685	1051	131	304	554	557	544	11	228	110	140	4289	1226	8	926	254	434	185	877	500	23	4754	872
f9b4ae1423c10acd61e0d3e2040839fb	485	841	648	440	479	485	59	112	290	8	309	42	50	1710	0	216	0	0	7	82	15	10	0	472	77	22	19	51	101	2	120	158	27	0	11	0	25	101	10	18	3940	91	22	12	19	27	16	89	0	0	11	224	0	1048	7	70	171	22	267	217	778	73	36	1057	795	1469	2318	714	2524	2711	7	586	877	496	4176	4019	10	1289	36	8	103	551	356	7	264	91
052ba7abaeaa968c4f79e3f97d1f0a2f	12981	140	895	248	253	168	7084	3512	0	0	5268	51	10	24	2545	319	0	0	0	17	238	16	130	8	0	275	1400	17	57	0	26	0	0	14	31	0	0	14	22	5	9	0	0	0	88	0	42	4	8	3	0	0	0	130	20	0	23	0	0	0	0	0	7	19	0	0	20	20	0	0	0	17	60	0	8	0	0	415	15	0	0	105	163	0	68	0
48dd75ead6cd9d37d75509ee782984ab	0	0	0	0	0	0	0	0	397	491	83	460	0	126	278	0	0	41	31	186	137	83	0	86	54	736	227	348	351	412	1137	0	250	0	2757	0	1854	1743	2625	1836	72	762	662	79	103	1093	733	278	472	434	499	0	0	423	0	0	0	0	0	0	50	82	3571	1609	64	0	702	71	749	0	46	207	159	169	0	0	1639	454	226	348	354	0	205	2270	147	302
487ba8cfd965330e87fdcc6201fa83e8	121	91	47	172	39	235	20	33	247	55	79	326	75	295	97	62	76	0	0	215	214	32	9	135	74	135	146	79	68	15	1598	10	19	0	6	0	363	636	21	52	3505	581	214	5	0	422	48	102	12	29	19	26	2	517	12	33	380	0	313	15	153	60	193	426	634	129	167	410	10148	985	0	23	100	44	167	634	20	0	116	0	8288	271	32	0	271	8
cb8818c331eb97f13778cef034bb3af0	239	51	2849	177	502	2202	125	44	27	25	76	553	112	2244	7412	568	40	44	11	41	498	141	205	181	20	305	214	160	311	133	1370	102	198	52	405	0	307	1021	146	125	90	194	17	9	59	26	32	28	13	17	44	8	0	866	3	20	151	8	58	158	820	72	159	243	4	106	247	458	183	518	8	267	1006	89	182	374	74	1069	137	745	51	1639	291	124	520	511
2ee0a94c2509db81395d353a1cf3c5ec	10247	220	884	247	325	229	5693	4162	6	8	5706	77	27	27	2003	224	0	0	8	96	277	24	143	8	7	230	1701	26	126	0	46	3	33	12	50	0	0	40	15	46	11	4	6	0	216	7	29	7	6	3	5	9	0	451	48	0	9	0	9	0	0	7	9	19	3	10	103	10	0	18	0	6	41	5	17	4	5	265	19	4	0	345	128	0	24	0
8f5861dd05ff347032a565cd7ad31870	11412	147	712	181	247	202	6882	3496	3	3	5818	42	0	17	2214	144	3	0	4	57	237	29	111	16	8	237	863	16	53	0	43	4	8	14	31	0	0	28	34	8	5	0	0	0	38	2	42	3	6	0	0	5	0	175	23	0	22	0	0	0	6	0	9	9	3	12	40	7	0	0	0	3	53	0	9	0	8	321	8	0	15	239	85	0	88	2
e3c92b41e431613c5c5f23af4ba8b65f	883	693	797	781	440	51	177	283	118	0	335	61	0	202	67	74	0	19	0	39	0	57	0	86	46	246	60	63	44	0	384	1740	0	0	0	0	0	315	22	0	1679	44	34	0	46	0	0	49	0	0	0	82	0	960	0	0	40	0	113	197	681	102	38	302	198	2845	3679	186	757	2008	0	2497	727	1867	2904	1160	0	690	0	18	40	822	165	0	403	29
380d81417892576cb8aa4c50e92e5e1d	301	733	491	297	215	68	70	90	112	10	281	523	18	94	171	23	0	11	38	615	494	434	100	212	48	133	351	228	205	76	2861	145	527	32	207	3	157	338	23	272	1238	100	107	10	57	77	22	74	11	21	88	73	0	357	65	75	27	9	26	104	400	654	66	148	35	106	230	1133	680	603	8	307	527	241	138	878	41	700	19	9669	156	952	769	43	564	692
6cec4c6f91655e43daa7476c4d74777c	272	59	322	273	126	227	63	76	196	57	59	1901	73	56	725	16	11	17	17	263	446	381	122	155	30	529	674	321	234	192	4741	14	99	40	373	7	409	1432	480	1522	93	494	101	18	158	141	62	89	58	36	129	13	3	1161	47	60	21	26	14	92	326	1877	459	351	10	30	222	873	311	228	8	659	486	413	89	39	316	713	158	347	1050	1137	839	858	286	487
c1b702dc580f5d9fa61a5a5b74232dc4	438	724	168	86	141	13	139	105	60	0	195	67	69	864	0	287	0	0	4	6	0	8	4	32	20	37	47	18	41	0	13	300	0	0	0	0	13	50	0	5	990	35	34	6	14	9	0	35	5	0	7	129	0	790	0	21	115	25	213	123	423	18	31	1214	280	2726	5178	245	1704	1741	10	281	502	578	6352	1565	7	438	0	0	84	570	134	0	149	14
ebbb68c5851d90e8694b00eb4c04bfd2	212	371	982	764	306	938	38	65	37	74	83	177	474	107	942	33	0	33	0	445	736	564	86	0	0	248	863	87	374	54	5276	56	450	29	168	0	136	369	69	657	107	676	75	0	80	105	29	46	33	0	59	0	0	1430	143	23	30	38	14	206	672	2874	201	118	26	62	194	175	275	381	0	579	741	85	110	32	87	982	58	1185	418	744	432	92	201	191
73ec397d035244c7734fc7513050637d	297	305	518	475	179	200	74	100	80	62	191	590	52	139	429	15	16	8	8	303	257	446	139	208	28	990	350	210	161	80	7905	126	24	14	127	0	196	2279	625	418	479	299	679	5	43	373	144	66	91	108	92	13	6	175	35	17	27	3	35	28	148	124	211	280	79	279	444	150	509	409	13	687	249	1002	466	345	386	202	33	1063	474	118	298	451	59	9
0fa79b163a2f27efbc8b1a08328410ae	64	20	38	20	0	19	0	19	558	30	128	70	47	236	20	27	14	0	0	185	0	0	0	172	0	489	39	122	19	149	17	0	17	0	113	0	1995	1977	285	386	58	194	1028	42	56	1439	182	247	63	108	139	0	0	45	20	18	0	0	22	31	11	0	8808	4402	0	11	940	279	363	44	10	198	102	218	0	14	227	202	183	0	1299	185	115	871	70	0
